,Missing Values,Percentage (%)
Bank,145961,14.594669722367207
AccountType,40232,4.022805765035026
MaritalStatus,8259,0.8258190697311664
Gender,9536,0.9535065563574769
mmcode,552,0.05519459093008885
VehicleType,552,0.05519459093008885
make,552,0.05519459093008885
Model,552,0.05519459093008885
Cylinders,552,0.05519459093008885
cubiccapacity,552,0.05519459093008885
kilowatts,552,0.05519459093008885
bodytype,552,0.05519459093008885
NumberOfDoors,552,0.05519459093008885
VehicleIntroDate,552,0.05519459093008885
CustomValueEstimate,779642,77.95656025709481
CapitalOutstanding,2,0.00019998040192061175
NewVehicle,153295,15.327997856210091
WrittenOff,641901,64.18380998662131
Rebuilt,641901,64.18380998662131
Converted,641901,64.18380998662131
CrossBorder,999400,99.9302068397297
NumberOfVehiclesInFleet,1000098,100.0
